"FILENAME"	"GIVENNAME"	"EXPERIMENT"	"MONTH"	"CELLTYPE"	"LOCATION"	"MISC"
"105"	NA	NA	NA	NA	NA	NA	NA
"106"	NA	NA	NA	NA	NA	NA	NA
"107"	NA	NA	NA	NA	NA	NA	NA
"108"	NA	NA	NA	NA	NA	NA	NA
"109"	NA	NA	NA	NA	NA	NA	NA
"110"	NA	NA	NA	NA	NA	NA	NA
"111"	NA	NA	NA	NA	NA	NA	NA
"112"	NA	NA	NA	NA	NA	NA	NA
"113"	NA	NA	NA	NA	NA	NA	NA
"114"	NA	NA	NA	NA	NA	NA	NA
"115"	NA	NA	NA	NA	NA	NA	NA
"116"	NA	NA	NA	NA	NA	NA	NA
"117"	NA	NA	NA	NA	NA	NA	NA
"118"	NA	NA	NA	NA	NA	NA	NA
"119"	NA	NA	NA	NA	NA	NA	NA
"120"	NA	NA	NA	NA	NA	NA	NA
"121"	NA	NA	NA	NA	NA	NA	NA
"122"	NA	NA	NA	NA	NA	NA	NA
"123"	NA	NA	NA	NA	NA	NA	NA
"124"	NA	NA	NA	NA	NA	NA	NA
"125"	NA	NA	NA	NA	NA	NA	NA
"126"	NA	NA	NA	NA	NA	NA	NA
"127"	NA	NA	NA	NA	NA	NA	NA
"128"	NA	NA	NA	NA	NA	NA	NA
"129"	NA	NA	NA	NA	NA	NA	NA
"130"	NA	NA	NA	NA	NA	NA	NA
"131"	"zj313mGFPpCD33preseq.fastq"	"3m GFP+Gr reseq"	"TIMEPOINT"	3	"Gr"	"PB"	"reseq"
"132"	NA	NA	NA	NA	NA	NA	NA
"133"	NA	NA	NA	NA	NA	NA	NA
"134"	NA	NA	NA	NA	NA	NA	NA
"135"	NA	NA	NA	NA	NA	NA	NA
"136"	"zj314mBreseq.fastq"	"4m B reseq"	"TIMEPOINT"	4	"B"	""	"reseq"
"137"	NA	NA	NA	NA	NA	NA	NA
"138"	NA	NA	NA	NA	NA	NA	NA
"139"	"zj314mGFPpmCD33p112014CAGGCG.fastq"	"4m Gr GFP+ CD33+ 112014 CAGGCG"	"TIMEPOINT"	4	"Gr"	""	"GFPp_CAGGCG"
"140"	NA	NA	NA	NA	NA	NA	NA
"141"	"zj314mMonoreseq.fastq"	"4m Mono reseq"	"TIMEPOINT"	4	"Mono"	""	"reseq"
"142"	NA	NA	NA	NA	NA	NA	NA
"143"	NA	NA	NA	NA	NA	NA	NA
"144"	"zj314mT.fastq"	"4m T"	"TIMEPOINT"	4	"T"	""	""
"145"	"zj315mBrepJoy.fastq"	"5m B rep Joy"	"TIMEPOINT"	5	"B"	""	"JW"
"146"	NA	NA	NA	NA	NA	NA	NA
"147"	NA	NA	NA	NA	NA	NA	NA
"148"	NA	NA	NA	NA	NA	NA	NA
"149"	NA	NA	NA	NA	NA	NA	NA
"150"	NA	NA	NA	NA	NA	NA	NA
"151"	"zj315mGFPpCD33p122214.fastq"	"5m Gr GFP+CD33+ 122214"	"TIMEPOINT"	5	"Gr"	""	"GFPp"
"152"	"zj315mMonoCD83.fastq"	"5m Mono"	"5m_NK"	5	"Mono"	"PB"	""
"153"	"zj315mTrepJoy122214.fastq"	"5m T rep Joy 122214"	"TIMEPOINT"	5	"T"	""	"JW"
"154"	NA	NA	NA	NA	NA	NA	NA
"155"	NA	NA	NA	NA	NA	NA	NA
"156"	NA	NA	NA	NA	NA	NA	NA
"157"	"zj316mB28cycles.fastq"	"6m B 28"	"TIMEPOINT"	6	"B"	""	"28c"
"158"	NA	NA	NA	NA	NA	NA	NA
"159"	NA	NA	NA	NA	NA	NA	NA
"160"	NA	NA	NA	NA	NA	NA	NA
"161"	NA	NA	NA	NA	NA	NA	NA
"162"	NA	NA	NA	NA	NA	NA	NA
"163"	NA	NA	NA	NA	NA	NA	NA
"164"	NA	NA	NA	NA	NA	NA	NA
"165"	NA	NA	NA	NA	NA	NA	NA
"166"	"zj316mGr28cycles.fastq"	"6m Gr 28"	"TIMEPOINT"	6	"Gr"	""	"28c"
"167"	NA	NA	NA	NA	NA	NA	NA
"168"	NA	NA	NA	NA	NA	NA	NA
"169"	NA	NA	NA	NA	NA	NA	NA
"170"	"zj316mMono28cyclesCD76R.fastq"	"6m Mono 28 CD76R"	"TIMEPOINT"	6	"Mono"	"PB"	"28c"
"171"	NA	NA	NA	NA	NA	NA	NA
"172"	NA	NA	NA	NA	NA	NA	NA
"173"	NA	NA	NA	NA	NA	NA	NA
"174"	NA	NA	NA	NA	NA	NA	NA
"175"	NA	NA	NA	NA	NA	NA	NA
"176"	NA	NA	NA	NA	NA	NA	NA
"177"	NA	NA	NA	NA	NA	NA	NA
"178"	NA	NA	NA	NA	NA	NA	NA
"179"	NA	NA	NA	NA	NA	NA	NA
"180"	NA	NA	NA	NA	NA	NA	NA
"181"	NA	NA	NA	NA	NA	NA	NA
"182"	NA	NA	NA	NA	NA	NA	NA
"183"	"zj316mPBT28cyclesCD75R.fastq"	"6m PB T 28 CD75R"	"TIMEPOINT"	6	"T"	"PB"	"28c"
"184"	NA	NA	NA	NA	NA	NA	NA
"185"	NA	NA	NA	NA	NA	NA	NA
"186"	NA	NA	NA	NA	NA	NA	NA
"187"	NA	NA	NA	NA	NA	NA	NA
